name,count,mean,std,min,25%,50%,75%,max
J182,1.0,76820.109375,,76820.109375,76820.109375,76820.109375,76820.109375,76820.109375
J183,1.0,57693.13671875,,57693.13671875,57693.13671875,57693.13671875,57693.13671875,57693.13671875
J184,1.0,64844.3203125,,64844.3203125,64844.3203125,64844.3203125,64844.3203125,64844.3203125
J185,1.0,76790.5546875,,76790.5546875,76790.5546875,76790.5546875,76790.5546875,76790.5546875
J186,1.0,77036.1796875,,77036.1796875,77036.1796875,77036.1796875,77036.1796875,77036.1796875
J187,1.0,76949.9296875,,76949.9296875,76949.9296875,76949.9296875,76949.9296875,76949.9296875
J188,1.0,74083.453125,,74083.453125,74083.453125,74083.453125,74083.453125,74083.453125
J189,1.0,76962.34375,,76962.34375,76962.34375,76962.34375,76962.34375,76962.34375
J190,1.0,75539.3671875,,75539.3671875,75539.3671875,75539.3671875,75539.3671875,75539.3671875
J191,1.0,77022.2265625,,77022.2265625,77022.2265625,77022.2265625,77022.2265625,77022.2265625
J192,1.0,76945.1171875,,76945.1171875,76945.1171875,76945.1171875,76945.1171875,76945.1171875
J193,1.0,77031.3203125,,77031.3203125,77031.3203125,77031.3203125,77031.3203125,77031.3203125
J194,1.0,76904.421875,,76904.421875,76904.421875,76904.421875,76904.421875,76904.421875
J195,1.0,76502.890625,,76502.890625,76502.890625,76502.890625,76502.890625,76502.890625
J196,1.0,62756.13671875,,62756.13671875,62756.13671875,62756.13671875,62756.13671875,62756.13671875
J197,1.0,76648.0625,,76648.0625,76648.0625,76648.0625,76648.0625,76648.0625
J198,1.0,77016.0390625,,77016.0390625,77016.0390625,77016.0390625,77016.0390625,77016.0390625
Reservoir1,1.0,0.0008370000286959112,,0.0008370000286959112,0.0008370000286959112,0.0008370000286959112,0.0008370000286959112,0.0008370000286959112
Reservoir2,1.0,-0.0004130000015720725,,-0.0004130000015720725,-0.0004130000015720725,-0.0004130000015720725,-0.0004130000015720725,-0.0004130000015720725
Reservoir3,1.0,0.002087000058963895,,0.002087000058963895,0.002087000058963895,0.002087000058963895,0.002087000058963895,0.002087000058963895
Borewell1,1.0,0.0005995000246912241,,0.0005995000246912241,0.0005995000246912241,0.0005995000246912241,0.0005995000246912241,0.0005995000246912241
Borewell2,1.0,0.0018494999967515469,,0.0018494999967515469,0.0018494999967515469,0.0018494999967515469,0.0018494999967515469,0.0018494999967515469
